,ID,Link,Title,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller
29,ID16BpiF,https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-48m2-2-pokoje-pod-telegrafem-kielce-CID3-ID16BpiF.html,"Mieszkanie na wynajem 48m2, 2 pokoje - Pod Telegrafem, Kielce",2 500 zł,Kielce - Dzisiaj o 19:16,48 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,yes,yes,2,belonging_on_street,no,2,private
30,ID4vRqs,https://www.olx.plhttps://www.otodom.pl/pl/oferta/ul-turystyczna-kawalerka-w-wysokim-standardzie-na-wynajem-ID4vRqs.html,Ul. Turystyczna - kawalerka w wysokim standardzie na wynajem,1 900 zł,Kielce - 14 czerwca 2025,25 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,yes,0,,,1,private
31,ID16zbk5,https://www.olx.pl/d/oferta/do-wynajecia-mieszkanie-35-m2-kielce-ul-krakowska-CID3-ID16zbk5.html,Do wynajęcia mieszkanie 35 m2 /Kielce ul.Krakowska,1 600 zł,Kielce - Odświeżono Dzisiaj o 11:16,34 m²,kielce,2025-07-13 22:46:27,wynajem,block,yes,yes,1,,no,1,developers
32,ID4rvDI,https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajem-kawalerka-wysoki-standard-centrum-ul-niska-ID4rvDI.html,Wynajem/kawalerka/wysoki standard/centrum/ul.Niska,1 950 zł,Kielce - 27 czerwca 2025,35 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,yes,1,,,1,developers
33,ID4x8VY,https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-z-garazem-ID4x8VY.html,Nowe 2-pokojowe mieszkanie z garażem,2 400 zł,Kielce - 05 lipca 2025,43 m²,kielce,2025-07-13 22:46:27,wynajem,block,,yes,4,,,2,private
34,ID16dLIp,https://www.olx.pl/d/oferta/wynajme-kawalerke-CID3-ID16dLIp.html,Wynajmę kawalerkę,1 450 zł,Kielce - Dzisiaj o 09:13,36 m²,kielce,2025-07-13 22:46:27,wynajem,block,yes,yes,2,belonging_on_street,no,1,private
35,ID4vX1o,https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-na-wynajem-baranowek-45m2-balkon-i-garaz-z-piwnica-ID4vX1o.html,Apartament na wynajem BARANÓWEK 45m2+balkon i garaż z piwnicą,2 700 zł,Kielce - 22 czerwca 2025,45 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,yes,3,,,2,private
36,ID16jVjC,https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-2-pokoje-CID3-ID16jVjC.html,Mieszkanie do wynajęcia 2 pokoje,2 600 zł,Kielce - Odświeżono dnia 11 lipca 2025,45 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,yes,yes,1,garage,no,2,private
37,ID4x2i3,https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-mieszkanie-slichowice-ID4x2i3.html,Nowe mieszkanie Ślichowice,2 250 zł,Kielce - 29 czerwca 2025,53 m²,kielce,2025-07-13 22:46:27,wynajem,block,,yes,0,,,2,private
38,ID4vT6h,https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajmiemy-komfortowe-mieszkanie-ID4vT6h.html,Wynajmiemy komfortowe mieszkanie,2 500 zł,Kielce - 16 czerwca 2025,60 m²,kielce,2025-07-13 22:46:27,wynajem,apartment,,no,1,,,3,developers
39,ID44IgJ,https://www.olx.plhttps://www.otodom.pl/pl/oferta/samodzielne-mieszkanie-40m2-ck-centrum-hit-cenowy-ID44IgJ.html,Samodzielne mieszkanie 40m2 CK centrum HIT CENOWY,1 250 zł,Kielce - 10 lipca 2025,40 m²,kielce,2025-07-13 22:46:27,wynajem,tenement,,yes,2,,,1,private
