Link,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller,Refreshed,Date,Negotiations
https://www.olx.pl/d/oferta/nowa-kawalerka-gotowa-do-zamieszkania-miejsce-parkingowe-w-cenie-CID3-ID16rm7X.html,2 000,Kielce,27.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,garage,False,1,private,True,2025-07-07,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajme-mieszkanie-95-m2-centrum-kielc-3-pokoje-lokal-ID4vRmj.html,2 800,Kielce,95.0,kielce,2025-07-14 00:45:21,wynajem,tenement,0,False,3,no,False,3,private,False,2025-06-14,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-klonowy-bulwar-3-pokoje-premium-ID4u4YL.html,2 800,Kielce,53.04,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,2,no,False,3,developers,False,2025-07-04,False
https://www.olx.pl/d/oferta/mieszkanie-na-wynajem-48m2-2-pokoje-pod-telegrafem-kielce-CID3-ID16BpiF.html,2 500,Kielce,48.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,belonging_on_street,False,2,private,False,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/60m2-w-centrum-miasta-3-osobne-pokoje-ul-niska-ID4rAls.html,3 300,Kielce,60.0,kielce,2025-07-14 00:45:21,wynajem,apartment,0,True,4,no,False,3,private,False,2025-07-05,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-2-pok-53-m2-szydlowek-zamenhofa-ID4vo3l.html,1 700,Kielce,53.2,kielce,2025-07-14 00:45:21,wynajem,block,0,False,0,no,False,2,developers,False,2025-06-24,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-centrum-ul-zeromskiego-ID4vVTL.html,1 850,Kielce,50.0,kielce,2025-07-14 00:45:21,wynajem,tenement,0,True,2,no,False,2,developers,False,2025-06-22,False
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-CID3-ID16vuhF.html,2 150,Kielce,29.0,kielce,2025-07-14 00:45:21,wynajem,apartment,1,True,2,parking_zone_identifier,False,2,private,False,2025-07-08,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-kielce-witosa-73-m3-3-pokoje-1-p-ID4af4a.html,2 900,Kielce,72.83,kielce,2025-07-14 00:45:21,wynajem,block,0,True,1,no,False,3,private,False,2025-06-21,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-z-balkonem-na-slichowicach-ID4rnIj.html,1 450,Kielce,35.0,kielce,2025-07-14 00:45:21,wynajem,block,0,True,0,no,False,1,developers,False,2025-06-30,False
